Source,Charge,First Headline Name,Subject,Date,Link
RadarOnline,Dog Mishandling,Kim Zolciak,Kroy Bierman,2024/07/02,https://radaronline.com/p/kroy-biermann-cited-aggressive-dog-after-neighbor-complaint/
RadarOnline,Tax Lein,Maci Bookout,Maci Bookout,2024/06/26,https://radaronline.com/p/teen-mom-maci-book-tax-lien-owes-736k-money-issues/
Rolling Stone,Copyright Infringement,Cardi B,Cardi B,2024/07/05,https://www.rollingstone.com/music/music-news/cardi-b-enough-miami-reservation-dogs-lawsuit-1235054189/
Rolling Stone,Unpaid Wages,Kanye West,Kanye West,2024/07/01,https://www.rollingstone.com/music/music-news/kanye-west-lawsuit-hostile-workplace-unpaid-wages-minors-porn-1235050476/
Rolling Stone,Disorderly Intoxication,Travis Scott,Travis Scott,2024/06/20,https://www.rollingstone.com/music/music-news/travis-scott-arrest-disorderly-intoxication-trespassing-miami-1235042918/
Rolling Stone,Accounting Fraud,Tony Bennet,Danny Bennett,2024/06/13,https://www.rollingstone.com/music/music-news/tony-bennett-daughters-son-estate-lawsuit-1235040013/
Rolling Stone,Racial Discrimination,Alexander Morris,Ascension Macomb Oakland Hospital,2024/06/11,https://www.rollingstone.com/music/music-news/four-tops-singer-hospital-lawsuit-straitjacket-1235038270/
Rolling Stone,Copyright Infringement,Salomón Villada Hoyos (Feid),Salomón Villada Hoyos (Feid),2024/06/11,https://www.rollingstone.com/music/music-news/reggaeton-feid-sued-lawsuit-ferxxo-1235038060/
Rolling Stone,Contempt Of Court,Jeffery Lamar Williams (Young Thug),Brian Steel,2024/06/10,https://www.rollingstone.com/music/music-news/young-thug-lawyer-brian-steel-held-contempt-custody-1235037327/
Rolling Stone,Fraud,Sean Kingston,Sean Kingston,2024/05/28,https://www.rollingstone.com/music/music-news/sean-kingston-facing-10-charges-florida-fraud-case-1235028518/
Roling Stone,Trademark Infringement,Jason Bradley DeFord (Jelly Roll),Jason Bradley DeFord (Jelly Roll),2024/04/12,https://www.rollingstone.com/music/music-news/jelly-roll-sued-trademark-infringement-pa-band-jellyroll-1235003608/
Rolling Stone,Copyright Infringement,Kanye West,Kanye West,2024/02/27,https://www.rollingstone.com/music/music-news/kanye-west-sued-donna-summer-estate-copyright-infringement-1234976853/
Rolling Stone,Assault,Bebe Rhexa,Nicholas Malvanga,2024/02/23,https://www.rollingstone.com/music/music-news/bebe-rexha-attacker-charges-dismissed-community-service-1234974961/
Rolling Stone,Deceptive Trade Practices,Calvin Cordozar Broadus (Snoop Dogg),Walmart,2024/02/07,https://www.rollingstone.com/music/music-news/snoop-dogg-master-p-post-walmart-cereal-lawsuit-1234963653/
Rolling Stone,Domestic Violence,Daniel Hernandez (Tekashi 6ix9ine),Daniel Hernandez (Tekashi 6ix9ine),2024/01/18,https://www.rollingstone.com/music/music-news/tekashi-6ix9ine-arrested-dominican-republic-domestic-violence-1234948837/
Rolling Stone,Copyright Infringement,Isis Naija Gaston (Ice Spice),Isis Naija Gaston (Ice Spice),2024/01/18,https://www.rollingstone.com/music/music-news/ice-spice-copyright-infringement-lawsuit-in-ha-mood-1234948699/
Rolling Stone,Defamation,Johnathan Jamall Porter (Blueface),Johnathan Jamall Porter (Blueface),2023/12/22,https://www.rollingstone.com/music/music-news/blueface-sued-defamation-soulja-boy-son-1234935511/
Rolling Stone,Unpaid Royalties,Linkin Park (Band),Linkin Park (Band),2023/11/09,https://www.rollingstone.com/music/music-news/linkin-park-sued-bassist-royalties-1234874421/
Rolling Stone,Battery,Kiari Kendrell Cephus (Offset),Kiari Kendrell Cephus (Offset),2023/11/07,https://www.rollingstone.com/music/music-news/offset-sued-battery-security-guard-complexcon-california-1234872246/
Rolling Stone,Copyright Infringement,Mariah Carey,Mariah Carey,2023/11/01,https://www.rollingstone.com/music/music-news/mariah-carey-sued-again-all-i-want-for-christmas-is-you-1234868221/
Rolling Stone,IP Theft,Kanye West,Kanye West,2023/10/24,https://www.rollingstone.com/music/music-news/kanye-west-sued-volunteer-skid-row-video-lawsuit-1234861846/
Rolling Stone,Improper Business Practices,Coldplay (band),David Holmes,2023/10/09,https://www.rollingstone.com/music/music-news/coldplay-countersue-ex-manager-legal-battle-1234849535/
Rolling Stone,Tax Evasion,Shakira Riproll,Shakira Riproll,2023/09/26,https://www.rollingstone.com/music/music-news/shakria-charged-tax-evasion-spain-7-million-1234832235/
Rolling Stone,Unpaid Fees,Mary J Bilge,RM Talent Agency,2023/09/08,https://www.rollingstone.com/music/music-news/mary-j-blige-sues-festival-booker-unpaid-concert-fee-1234820831/
Rolling Stone,Copyright Infringement,Universal Music Group,Internet Archive,2023/08/12,https://www.rollingstone.com/music/music-news/record-labels-sue-internet-archive-412-million-copyright-infringement-lawsuit-1234806058/
Rolling Stone,Wire Fraud,Herbert Wright (G Herbo),Herbert Wright (G Herbo),2023/07/28,https://www.rollingstone.com/music/music-news/g-herbo-pleads-guilty-wire-fraud-designer-puppies-private-jets-1234797338/
Rolling Stone,Copyright Infringement,National Publishers Association,Twitter,2023/06/14,https://www.rollingstone.com/music/music-news/twitter-sued-for-music-copyright-infringement-1234771702/
Rolling Stone,Drug Posession,Paul Cauthen,Paul Cauthen,2023/05/20,https://www.rollingstone.com/music/music-country/paul-cauthen-cancels-shows-arrest-drug-charges-1234739099/
Rolling Stone,Stock Manipulation,Kanye West,Adidas,2023/04/30,https://www.rollingstone.com/music/music-news/kanye-west-class-action-lawsuit-adidas-1234726441/
Rolling Stone,Copyright Infringment,Katy Perry,Katie Perry,2023/04/28,https://www.rollingstone.com/music/music-news/katy-perry-trademark-battle-with-katie-perry-rules-in-designers-favor-1234725557/
Rolling Stone,Drug Posession,Jeffery Lamar Williams (Young Thug),Anastassios Manettas,2023/04/20,https://www.rollingstone.com/music/music-news/young-thug-ysl-trial-lawyer-arrested-1234720466/
Rolling Stone,Filming Jury Selection,Jeffery Lamar Williams (Young Thug),Cathy Russon,2023/04/03,https://www.rollingstone.com/music/music-news/ysl-case-potential-juror-jail-filming-1234708686/
Rolling Stone,Copyright Infringement,Aubery Drake Graham (Drake),Aubery Drake Graham (Drake),2023/04/19,https://www.rollingstone.com/music/music-news/drake-copyright-infringement-lawsuit-calling-my-name-sample-1234717818/
Rolling Stone,Trademark Infringement,Miles Parks McCollum (Lil Yachty),Opulous,2023/04/11,https://www.rollingstone.com/music/music-news/lil-yachty-settles-infringement-lawsuit-nft-opulous-1234713148/
Rolling Stone,Inadequate Security,Karim Kharbouch (French Montana),Karim Kharbouch (French Montana),2023/03/20,https://www.rollingstone.com/music/music-news/french-montana-sued-music-video-shooting-1234700157/
Rolling Stone,Trademark Infringement,"Earth\, Wind & Fire IP LLC",Substantial Music Group,2023/03/08,https://www.rollingstone.com/music/music-news/earth-wind-and-fire-copyright-infringement-lawsuit-1234692630/
Rolling Stone,Unpaid Royalties,Bertelsmann Music Group,Bertelsmann Music Group,2023/01/13,https://www.rollingstone.com/music/music-news/lawsuit-bmg-uptown-funk-royalties-gap-band-heirs-1234660379/
Rolling Stone,Unpaid License Fees,Triller,Triller,2023/01/06,https://www.rollingstone.com/music/music-news/triller-sued-universal-music-publishing-1234656935/
Rolling Stone,Unpaid Royalties,Black Sheep (band),Universial Media Group,2023/01/04,https://www.rollingstone.com/music/music-news/black-sheep-class-action-universal-music-spotify-1234655904/
Rolling Stone,Copyright Infringement,Jonathan Lyndale Kirk (DaBaby),Jonathan Lyndale Kirk (DaBaby),2022/12/12,https://www.rollingstone.com/music/music-news/dababy-copyright-lawsuit-rockstar-1234645951/
Rolling Stone,Copyrigth Infringement,Rodrick Wayne Moore (Roddy Rich),Rodrick Wayne Moore (Roddy Rich),2022/12/06,https://www.rollingstone.com/music/music-news/roddy-ricch-the-box-lawsuit-copyright-infringement-1234642713/
Rolling Stone,Copyright Infringement,Ed Sheeran,Ed Sheeran,2022/09/30,https://www.rollingstone.com/music/music-news/copyright-infringement-lawsuit-ed-sheeran-thinking-out-loud-marvin-gaye-trial-1234602815/
Rolling Stone,Drug Posession,Willie Maxwell (Fetty Wap),Willie Maxwell (Fetty Wap),2022/08/22,https://www.rollingstone.com/music/music-news/fetty-wap-guilty-plea-federal-drug-charges-1234579314/
Rolling Stone,Unpaid Fees,Kanye West,Kanye West,2022/07/15,https://www.rollingstone.com/music/music-news/kanye-west-left-production-company-hanging-for-7-1-million-new-lawsuit-claims-1383646/
Rolling Stone,Copyright Infringement,Kanye West,Kanye West,2022/06/30,https://www.rollingstone.com/music/music-news/kanye-west-flowers-donda-2-lawsuit-sample-move-your-body-1376462/
Rolling Stone,Copyright Infringement,Ed Sheeran,Ed Sheeran,2022/06/22,https://www.rollingstone.com/music/music-news/ed-sheeran-shape-of-you-trial-win-1333494/
Rolling Stone,DUI,Tre Hargett (TN secretary of state),Tre Hargett (TN secretary of state),2022/06/19,https://www.rollingstone.com/music/music-news/tennessee-secretary-of-state-arrest-dui-bonnaroo-1370767/
Rolling Stone,Grand Larceny,Keenon Jackson (YG),Keenon Jackson (YG),2022/05/09,https://www.rollingstone.com/music/music-news/yg-felony-robbery-case-dismissed-in-vegas-1350779/
Rolling Stone,Copyringt Infringement,Kanye West,Kanye West,2022/05/04,https://www.rollingstone.com/music/music-news/kanye-west-lawsuit-come-to-life-sermon-1347455/
Rolling Stone,Unpaid Royalties,Brian Wilson,Brian Wilson,2022/03/30,https://www.rollingstone.com/music/music-news/brian-wilson-beach-boys-marilyn-wilson-rutherford-universal-music-publishing-lawsuit-1330232/
Rolling Stone,Copyright Infringement,Dua Lipa,Dua Lipa,2022/03/06,https://www.rollingstone.com/music/music-news/dua-lipa-second-levitating-lawsuit-1317471/
Rolling Stone,Breach of Contract,Russel Jones,Wu-Tang Productions Inc,2022/02/08,https://www.rollingstone.com/music/music-news/ol-dirty-bastard-wu-tang-clan-widow-royalties-lawsuit-1297087/
Rolling Stone,Defamation,Phoebe Bridgers,Phoebe Bridgers,2021/12/29,https://www.rollingstone.com/music/music-news/phoebe-bridgers-defamation-lawsuit-amended-1276740/
Rolling Stone,Copyright Infringement,Daniel Morino,William Guice,2018/10/20,https://www.rollingstone.com/music/music-news/songwriter-usher-bad-girl-lawsuit-745112/
Rolling Stone,Copyright Infringement,The Turtles (band),Sirius XM,2013/08/05,https://www.rollingstone.com/music/music-news/the-turtles-slap-siriusxm-with-100-million-lawsuit-56219/
Rolling Stone,Copyright Infringement,Eminem,Facebook,2013/05/21,https://www.rollingstone.com/music/music-news/eminems-music-publisher-sues-facebook-185258/
Rolling Stone,Default,Mary J Bilge,Mary J Bilge,2012/11/29,https://www.rollingstone.com/music/music-news/mary-j-blige-faces-lawsuit-for-defaulting-on-loan-188500/
Rolling Stone,Copyright Infringement,Beastie Boys (band),Monster Energy,2012/08/10,https://www.rollingstone.com/music/music-news/beastie-boys-sue-monster-energy-drink-over-unauthorized-songs-237570/
RadarOnline,Unpaid Wages,Poppy Montgomery,Poppy Montgomery,2023/11/08,https://radaronline.com/p/without-a-trace-star-poppy-montgomery-ordered-to-pay-110000-ex-housekeeper-lawsuit/
RadarOnline,Defective Products,Jimmy Donaldson (Mr Beast),Virtual Dining Concepts,2023/07/31,https://radaronline.com/p/mrbeast-sues-burger-business-partner-10-million-lawsuit-inedible-food/
RadarOnline,Unpaid Wages,Marques Houston,Marques Houston,2023/06/23,https://radaronline.com/p/marques-houston-sued-tv-show-crew-stiffed-no-payment-85000-chris-stokes/
RadarOnline,Breach of Contract,Andre Young (Dr Dre),Andre Young (Dr Dre),2018/05/28,https://radaronline.com/exclusives/2010/07/dr-dre-slapped-with-12-million-lawsuit-paramount-recording-studios/
RadarOnline,Unpaid Tax,Wesley Snipes,Wesley Snipes,2018/05/28,https://radaronline.com/exclusives/2010/11/wesley-snipes-sentenced-three-years-jail-tax-evasion/
RadarOnline,Bankruptcy,Jacqueline Laurita,Jacqueline Laurita,2014/09/26,https://radaronline.com/exclusives/2014/09/jacqueline-laurita-real-housewives-new-jersey-bankruptcy-court-case-settled/
RadarOnline,Trademark Infringement,Taylor Swift,Taylor Swift,2014/09/19,https://radaronline.com/exclusives/2014/09/taylor-swift-lucky-13-lawsuit-goes-forward-court/
RadarOnline,Breach of Contract,Paris Hilton,Paris Hilton,2014/09/12,https://radaronline.com/exclusives/2014/09/paris-hilton-antibe-breach-contract-lawsuit-dismissed/
RadarOnline,Unpaid Tax,Emma Bunton,Emma Bunton,2024/07/23,https://radaronline.com/p/spice-girls-emma-bunton-tax-battle-4-million-reunion-tour/
People,Defamation,Fiona Harvey,Netflix,2024/06/06,https://people.com/baby-reindeer-real-life-martha-files-lawsuit-against-netflix-8659721
People,Copyright Infringement,Beastie Boys (band),Chilli's,2024/07/12,https://people.com/the-beastie-boys-sue-chilis-over-use-of-sabotage-song-in-commercials-8677212
People,Manslaughter,Josh Klinghoffer,Josh Klinghoffer,2024/07/10,https://people.com/ex-red-hot-chili-peppers-guitarist-josh-klinghoffer-sued-for-fatal-accident-8676288
People,Unpaid Royalties,Harry Shearer,Harry Shearer,2016/10/19,https://people.com/music/harry-shearer-spinal-tap-lawsuit/
TMZ,Unpaid Wages,Nate Diaz,Fanmio,2024/07/15,https://www.tmz.com/2024/07/15/nate-diaz-claims-screwed-out-9-million-jorge-masvidal-fight-fanmio/
TMZ,Breach of Contract,Kevin Hart,Kevin Hart,2024/07/10,https://www.tmz.com/2024/07/10/kevin-hart-sued-by-friend-breach-contract-sex-tape-scandal/
TMZ,DUI,Ollie Gordon II,Ollie Gordon II,2024/07/02,https://www.tmz.com/2024/07/02/ollie-gordon-ii-arrested-dui-speeding-running-back-oklahoma-state-ncaa-college-football/
TMZ,Breach of Contract,Draya Michell,Tyrod Taylor,2024/06/27,https://www.tmz.com/2024/06/27/draya-michele-sues-tyrod-taylor-after-she-claims-he-backed-out-of-house-deal/
TMZ,DUI,Boyd Tinsley,Boyd Tinsley,2024/06/25,https://www.tmz.com/2024/06/25/dave-matthews-band-alum-boyd-tinsley-arrested-suspicion-dui/
TMZ,Assault,Charles Scaggs (2 Cold Scorpio),Charles Scaggs (2 Cold Scorpio),2024/06/24,https://www.tmz.com/2024/06/24/ex-wrestling-star-2-cold-scorpio-arrested-violent-stabbing-self-defense/
TMZ,Theft,Don Henley,"Edward Koniski\, Craig Inciardi",2024/06/28,https://www.tmz.com/2024/06/28/don-henley-sues-ownership-hotel-california-lyric-sheets-eagles/
TMZ,Defamation,Logan Paul,Ryan Garcia,2024/05/23,https://www.tmz.com/2024/05/23/logan-paul-prime-sues-ryan-garcia-defamation/
TMZ,False Advertising,David Beckham,Mark Wahlberg,2024/04/21,https://www.tmz.com/2024/04/21/david-beckham-sues-mark-wahlberg-f45-fitness-deal/
TMZ,Vehicular Misuse,Rashee Rice,Rashee Rice,2024/04/15,https://www.tmz.com/2024/04/15/rashee-rice-sued-over-dallas-car-crash-for-more-than-10-million/
TMZ,Defamation,Todd Chrisley,Todd Chrisley,2024/04/10,https://www.tmz.com/2024/04/10/todd-chrisley-ordered-pay-georgia-investigator-defamation-lawsuit-loss/
TMZ,Unpaid Fees,Bill Kapri (Kodak Black),Bill Kapri (Kodak Black),2024/03/29,https://www.tmz.com/2024/03/29/kodak-black-limo-company-overcharge-lawsuit/
Us Weekly,Defamation,Amanda Knox,Amanda Knox,2024/06/05,https://www.usmagazine.com/celebrity-news/news/amanda-knox-reconvicted-of-slander-in-case-related-to-merediths-murder/
Us Weekly,Assault,Phaedra Parks,Apollo Nida,2024/07/25,https://www.usmagazine.com/celebrity-news/news/rhoa-star-phaedra-parks-ex-husband-apollo-nida-arrested-for-assault/
Us Weekly,Defamation,Rebel Wilson,Rebel Wilson,2024/07/12,https://www.usmagazine.com/celebrity-news/news/rebel-wilson-sued-for-defamation-by-the-deb-producers/
Us Weekly,Invalid License,Patrick Mahomes Sr,Patrick Mahomes Sr,2024/07/12,https://www.usmagazine.com/celebrity-news/news/pat-mahomes-sr-ticketed-for-driving-with-invalid-license-after-dwi/
Us Weekly,Assault,Jonnathan Majors,Jonathan Majors,2024/03/19,https://www.usmagazine.com/celebrity-news/news/jonathan-majors-sued-for-assault-and-defamation-by-ex-girlfriend/
Us Weekly,DUI,Christi Lukasiak,Christi Lukasiak,2024/07/16,https://www.usmagazine.com/celebrity-news/news/dance-moms-christi-lukasiak-arrested-for-dui/
Us Weekly,Financial Elder Abuse,Priscilla Presley,"Brigitte Kruse\, Kevin Fialko\, Vahe Sislya\, Lynn Walker Wright",2024/07/18,https://www.usmagazine.com/celebrity-news/news/priscilla-presley-sues-former-business-associates-for-elder-abuse/
Us Weekly,Invasion of Privacy,Sofia Vergara,Sofia Vergara,2024/01/19,https://www.usmagazine.com/celebrity-news/news/sofia-vergara-sued-by-griselda-blancos-estate-over-netflix-series/
Us Weekly,Unsafe Work Environment,Leah McSweeney,Andy Cohen,2024/02/27,https://www.usmagazine.com/entertainment/news/rhonys-leah-mcsweeney-sues-andy-cohen-and-bravo/
Us Weekly,Financial Fraud,Charles Hill,Charles Hill,2024/04/23,https://www.usmagazine.com/celebrity-news/news/hgtv-alum-charles-todd-hill-sentence-to-4-years-in-jail-for-fraud/
Us Weekly,Harassment,Bre Tiesi,Bre Tiesi,2024/05/01,https://www.usmagazine.com/celebrity-news/news/selling-sunsets-bre-tiesi-sued-for-harassment-by-ex-employees/
Us Weekly,DUI,Kathryn Dennis,Kathryn Dennis,2024/05/21,https://www.usmagazine.com/celebrity-news/news/southern-charms-kathryn-dennis-arrested-for-dui-after-car-collision/
Us Weekly,Harassment,Faith Stowers,Bravo,2024/04/05,https://www.usmagazine.com/celebrity-news/news/vprs-faith-stowers-accuses-bravo-of-discrimination-in-new-lawsuit/
Us Weekly,Unfair Labor Practices,Kelly Clarkson,Brandon Blackstock,2024/03/14,https://www.usmagazine.com/celebrity-news/news/kelly-clarkson-files-new-lawsuit-against-ex-husband-brandon-blackstock/
Us Weekly,Sexual Harassment,Arianne Zucker,Ken Corday,2024/02/07,https://www.usmagazine.com/celebrity-news/news/arianne-zucker-sues-days-of-our-lives-for-alleged-sexual-harassment/
Rolling Stone,Unpaid Commission,Axl Rose,Axl Rose,2010/03/26,https://www.rollingstone.com/music/music-news/axl-rose-sued-for-1-9-million-over-unpaid-tour-commission-70658/